Step,AgentID,Wealth,Steps_not_given
14,85,1,7
14,90,1,1
14,95,0,0
14,52,2,9
14,45,2,1
14,41,1,0
14,58,2,0
14,30,0,7
14,4,1,2
14,47,1,0
14,84,0,2
14,10,0,1
14,67,0,1
14,34,0,0
14,0,1,7
14,80,1,4
14,44,0,8
14,26,0,0
14,15,0,0
14,38,1,1
14,39,0,2
14,79,1,13
14,43,4,0
14,59,2,1
14,48,1,3
14,18,2,0
14,27,1,0
14,42,0,4
14,65,1,0
14,91,1,3
14,2,1,4
14,13,1,0
14,74,2,3
14,23,3,1
14,17,1,1
14,66,0,0
14,5,0,13
14,22,2,0
14,62,2,0
14,60,0,2
14,75,0,1
14,87,5,0
14,96,0,11
14,82,2,3
14,36,0,11
14,31,0,10
14,78,1,1
14,70,1,4
14,25,0,0
14,33,2,8
14,32,1,0
14,8,2,0
14,53,0,0
14,64,1,1
14,98,0,1
14,83,1,0
14,37,0,2
14,16,0,2
14,93,1,0
14,51,2,1
14,76,0,6
14,21,2,0
14,55,0,3
14,7,0,2
14,14,5,0
14,40,5,3
14,54,0,3
14,29,0,12
14,24,1,0
14,20,2,0
14,19,0,0
14,49,0,0
14,28,2,0
14,81,1,2
14,1,3,2
14,99,0,0
14,50,3,0
14,61,0,1
14,57,1,2
14,72,0,4
14,89,1,1
14,46,0,4
14,86,1,0
14,77,1,3
14,56,0,3
14,9,0,2
14,12,1,0
14,73,0,1
14,69,5,1
14,6,4,0
14,35,0,11
14,92,1,0
14,94,2,0
14,97,0,3
14,88,0,2
14,11,0,1
15,55,0,4
15,9,0,3
15,59,2,0
15,13,1,0
15,26,1,1
15,19,1,1
15,29,0,13
15,24,2,1
15,99,0,1
15,53,1,1
15,60,0,3
15,40,5,0
15,39,0,3
15,69,5,0
15,76,0,7
15,96,1,12
15,27,1,0
15,18,2,0
15,21,3,1
15,78,1,2
15,7,0,3
15,36,0,12
15,35,0,12
15,64,0,0
15,95,0,1
15,6,4,0
15,30,1,8
15,97,0,4
15,94,2,0
15,77,1,0
15,56,1,4
15,37,1,3
15,28,2,1
15,8,2,1
15,2,0,0
15,42,1,5
15,51,1,0
15,38,0,0
15,5,0,14
15,10,0,2
15,32,1,0
15,44,0,9
15,90,1,2
15,41,0,0
15,63,0,4
15,68,0,3
15,0,1,8
15,12,1,1
15,72,0,5
15,20,2,0
15,86,0,0
15,22,3,0
15,75,0,2
15,11,0,2
15,91,1,0
15,74,1,0
15,50,2,0
15,57,1,0
15,81,0,0
15,93,1,1
15,1,4,0
15,52,3,10
15,16,0,3
15,14,5,1
15,87,5,0
15,47,0,0
15,73,0,2
15,54,0,4
15,67,0,2
15,48,1,0
15,49,0,1
15,15,1,1
15,58,1,0
15,34,0,1
15,88,0,3
15,33,2,9
15,65,0,0
15,23,3,0
15,83,0,0
15,80,1,5
15,98,0,2
15,89,1,2
15,46,0,5
15,3,2,0
15,4,1,3
15,17,0,0
15,82,2,4
15,61,0,2
15,92,1,0
15,25,0,1
15,66,0,1
15,70,0,0
15,71,0,1
15,84,0,3
15,43,4,1
15,45,1,0
15,31,0,11
15,85,1,0
15,79,3,14
15,62,1,0
16,2,0,1
16,36,0,13
16,50,1,0
16,32,1,1
16,84,0,4
16,41,0,1
16,83,2,1
16,69,5,0
16,82,1,0
16,51,2,0
16,75,1,3
16,29,0,14
16,24,2,2
16,68,0,4
16,95,0,2
16,56,2,0
16,23,4,1
16,93,0,0
16,76,0,8
16,52,4,11
16,47,0,1
16,91,2,1
16,5,0,15
16,42,0,0
16,65,0,0
16,61,1,3
16,74,1,1
16,43,3,0
16,88,0,4
16,63,0,5
16,39,0,4
16,57,0,0
16,0,1,9
16,67,0,3
16,15,1,2
16,21,2,0
16,90,1,0
16,59,2,0
16,66,0,2
16,20,1,0
16,17,0,1
16,8,1,0
16,87,4,0
16,46,0,6
16,34,0,2
16,28,1,0
16,73,1,0
16,81,0,1
16,25,1,2
16,27,1,0
16,9,0,4
16,96,1,0
16,26,1,0
16,85,0,0
16,6,4,0
16,14,5,2
16,33,1,0
16,3,1,0
16,80,2,0
16,30,1,9
16,86,0,1
16,40,5,0
16,79,2,0
16,22,2,0
16,35,2,0
16,12,1,0
16,44,0,10
16,11,1,3
16,94,2,1
16,60,1,4
16,13,2,0
16,97,0,5
16,37,1,4
16,48,1,0
16,64,0,1
16,31,0,12
16,53,1,0
16,45,2,1
16,98,1,3
16,54,0,5
16,58,2,1
16,77,0,0
16,55,0,5
16,1,3,0
16,71,0,2
16,92,1,1
16,7,0,4
16,89,0,0
16,18,1,0
16,49,0,2
16,16,0,4
16,19,1,2
16,10,0,3
16,70,1,0
16,78,1,3
16,62,0,0
16,72,0,6
16,99,0,2
16,4,1,4
16,38,0,1
17,77,2,1
17,49,1,3
17,31,0,13
17,92,0,0
17,82,1,0
17,91,2,2
17,53,2,1
17,72,0,7
17,83,3,2
17,25,0,0
17,67,0,4
17,17,0,2
17,79,3,1
17,75,2,4
17,63,0,6
17,54,0,6
17,66,0,3
17,1,3,0
17,50,2,1
17,84,0,5
17,14,4,0
17,26,1,0
17,51,2,0
17,74,1,2
17,6,3,0
17,76,1,9
17,24,2,3
17,88,1,0
17,55,0,6
17,13,1,0
17,22,1,0
17,12,0,0
17,57,0,1
17,34,0,3
17,35,4,1
17,19,1,3
